source,dataset,type,name,description
GA4,ga4_metadata,dimension,achievementId,
GA4,ga4_metadata,dimension,adFormat,
GA4,ga4_metadata,dimension,adSourceName,
GA4,ga4_metadata,dimension,adUnitName,
GA4,ga4_metadata,dimension,appVersion,
GA4,ga4_metadata,dimension,audienceId,
GA4,ga4_metadata,dimension,audienceName,
GA4,ga4_metadata,dimension,audienceResourceName,
GA4,ga4_metadata,dimension,brandingInterest,
GA4,ga4_metadata,dimension,browser,
GA4,ga4_metadata,dimension,campaignId,
GA4,ga4_metadata,dimension,campaignName,
GA4,ga4_metadata,dimension,character,
GA4,ga4_metadata,dimension,city,
GA4,ga4_metadata,dimension,cityId,
GA4,ga4_metadata,dimension,cm360AccountId,
GA4,ga4_metadata,dimension,cm360AccountName,
GA4,ga4_metadata,dimension,cm360AdvertiserId,
GA4,ga4_metadata,dimension,cm360AdvertiserName,
GA4,ga4_metadata,dimension,cm360CampaignId,
GA4,ga4_metadata,dimension,cm360CampaignName,
GA4,ga4_metadata,dimension,cm360CreativeFormat,
GA4,ga4_metadata,dimension,cm360CreativeId,
GA4,ga4_metadata,dimension,cm360CreativeName,
GA4,ga4_metadata,dimension,cm360CreativeType,
GA4,ga4_metadata,dimension,cm360CreativeTypeId,
GA4,ga4_metadata,dimension,cm360CreativeVersion,
GA4,ga4_metadata,dimension,cm360Medium,
GA4,ga4_metadata,dimension,cm360PlacementCostStructure,
GA4,ga4_metadata,dimension,cm360PlacementId,
GA4,ga4_metadata,dimension,cm360PlacementName,
GA4,ga4_metadata,dimension,cm360RenderingId,
GA4,ga4_metadata,dimension,cm360SiteId,
GA4,ga4_metadata,dimension,cm360SiteName,
GA4,ga4_metadata,dimension,cm360Source,
GA4,ga4_metadata,dimension,cm360SourceMedium,
GA4,ga4_metadata,dimension,cohort,
GA4,ga4_metadata,dimension,cohortNthDay,
GA4,ga4_metadata,dimension,cohortNthMonth,
GA4,ga4_metadata,dimension,cohortNthWeek,
GA4,ga4_metadata,dimension,comparison,
GA4,ga4_metadata,dimension,contentGroup,
GA4,ga4_metadata,dimension,contentId,
GA4,ga4_metadata,dimension,contentType,
GA4,ga4_metadata,dimension,continent,
GA4,ga4_metadata,dimension,continentId,
GA4,ga4_metadata,dimension,country,
GA4,ga4_metadata,dimension,countryId,
GA4,ga4_metadata,dimension,currencyCode,
GA4,ga4_metadata,dimension,date,
GA4,ga4_metadata,dimension,dateHour,
GA4,ga4_metadata,dimension,dateHourMinute,
GA4,ga4_metadata,dimension,day,
GA4,ga4_metadata,dimension,dayOfWeek,
GA4,ga4_metadata,dimension,dayOfWeekName,
GA4,ga4_metadata,dimension,defaultChannelGroup,
GA4,ga4_metadata,dimension,deviceCategory,
GA4,ga4_metadata,dimension,deviceModel,
GA4,ga4_metadata,dimension,dv360AdvertiserId,
GA4,ga4_metadata,dimension,dv360AdvertiserName,
GA4,ga4_metadata,dimension,dv360CampaignId,
GA4,ga4_metadata,dimension,dv360CampaignName,
GA4,ga4_metadata,dimension,dv360CreativeFormat,
GA4,ga4_metadata,dimension,dv360CreativeId,
GA4,ga4_metadata,dimension,dv360CreativeName,
GA4,ga4_metadata,dimension,dv360ExchangeId,
GA4,ga4_metadata,dimension,dv360ExchangeName,
GA4,ga4_metadata,dimension,dv360InsertionOrderId,
GA4,ga4_metadata,dimension,dv360InsertionOrderName,
GA4,ga4_metadata,dimension,dv360LineItemId,
GA4,ga4_metadata,dimension,dv360LineItemName,
GA4,ga4_metadata,dimension,dv360Medium,
GA4,ga4_metadata,dimension,dv360PartnerId,
GA4,ga4_metadata,dimension,dv360PartnerName,
GA4,ga4_metadata,dimension,dv360Source,
GA4,ga4_metadata,dimension,dv360SourceMedium,
GA4,ga4_metadata,dimension,eventName,
GA4,ga4_metadata,dimension,fileExtension,
GA4,ga4_metadata,dimension,fileName,
GA4,ga4_metadata,dimension,firstSessionDate,
GA4,ga4_metadata,dimension,firstUserCampaignId,
GA4,ga4_metadata,dimension,firstUserCampaignName,
GA4,ga4_metadata,dimension,firstUserCm360AccountId,
GA4,ga4_metadata,dimension,firstUserCm360AccountName,
GA4,ga4_metadata,dimension,firstUserCm360AdvertiserId,
GA4,ga4_metadata,dimension,firstUserCm360AdvertiserName,
GA4,ga4_metadata,dimension,firstUserCm360CampaignId,
GA4,ga4_metadata,dimension,firstUserCm360CampaignName,
GA4,ga4_metadata,dimension,firstUserCm360CreativeFormat,
GA4,ga4_metadata,dimension,firstUserCm360CreativeId,
GA4,ga4_metadata,dimension,firstUserCm360CreativeName,
GA4,ga4_metadata,dimension,firstUserCm360CreativeType,
GA4,ga4_metadata,dimension,firstUserCm360CreativeTypeId,
GA4,ga4_metadata,dimension,firstUserCm360CreativeVersion,
GA4,ga4_metadata,dimension,firstUserCm360Medium,
GA4,ga4_metadata,dimension,firstUserCm360PlacementCostStructure,
GA4,ga4_metadata,dimension,firstUserCm360PlacementId,
GA4,ga4_metadata,dimension,firstUserCm360PlacementName,
GA4,ga4_metadata,dimension,firstUserCm360RenderingId,
GA4,ga4_metadata,dimension,firstUserCm360SiteId,
GA4,ga4_metadata,dimension,firstUserCm360SiteName,
GA4,ga4_metadata,dimension,firstUserCm360Source,
GA4,ga4_metadata,dimension,firstUserCm360SourceMedium,
GA4,ga4_metadata,dimension,firstUserDefaultChannelGroup,
GA4,ga4_metadata,dimension,firstUserDv360AdvertiserId,
GA4,ga4_metadata,dimension,firstUserDv360AdvertiserName,
GA4,ga4_metadata,dimension,firstUserDv360CampaignId,
GA4,ga4_metadata,dimension,firstUserDv360CampaignName,
GA4,ga4_metadata,dimension,firstUserDv360CreativeFormat,
GA4,ga4_metadata,dimension,firstUserDv360CreativeId,
GA4,ga4_metadata,dimension,firstUserDv360CreativeName,
GA4,ga4_metadata,dimension,firstUserDv360ExchangeId,
GA4,ga4_metadata,dimension,firstUserDv360ExchangeName,
GA4,ga4_metadata,dimension,firstUserDv360InsertionOrderId,
GA4,ga4_metadata,dimension,firstUserDv360InsertionOrderName,
GA4,ga4_metadata,dimension,firstUserDv360LineItemId,
GA4,ga4_metadata,dimension,firstUserDv360LineItemName,
GA4,ga4_metadata,dimension,firstUserDv360Medium,
GA4,ga4_metadata,dimension,firstUserDv360PartnerId,
GA4,ga4_metadata,dimension,firstUserDv360PartnerName,
GA4,ga4_metadata,dimension,firstUserDv360Source,
GA4,ga4_metadata,dimension,firstUserDv360SourceMedium,
GA4,ga4_metadata,dimension,firstUserGoogleAdsAccountName,
GA4,ga4_metadata,dimension,firstUserGoogleAdsAdGroupId,
GA4,ga4_metadata,dimension,firstUserGoogleAdsAdGroupName,
GA4,ga4_metadata,dimension,firstUserGoogleAdsAdNetworkType,
GA4,ga4_metadata,dimension,firstUserGoogleAdsCampaignId,
GA4,ga4_metadata,dimension,firstUserGoogleAdsCampaignName,
GA4,ga4_metadata,dimension,firstUserGoogleAdsCampaignType,
GA4,ga4_metadata,dimension,firstUserGoogleAdsCreativeId,
GA4,ga4_metadata,dimension,firstUserGoogleAdsCustomerId,
GA4,ga4_metadata,dimension,firstUserGoogleAdsKeyword,
