Identificador,Data de envio (dd/mm/aaaa),Horário de envio,Dia da semana,Nome do email,Assunto,Leads selecionados,Descartados,Entregues,Bounce (únicos),Aberturas (únicas),Cliques (únicos),Descadastrados,Marcados como spam,Taxa de entrega,Taxa de abertura,Taxa de clique (CTR),Taxa de spam,Tipo de email,Nome do remetente,Email do remetente,Segmentações de envio,Segmentações excluídas,Níveis de engajamento - Leads engajados,Níveis de engajamento - Leads desengajados,Níveis de engajamento - Leads indeterminados
18219897,19/09/2025,15:10,Sexta-feira,Educação | NPS Lápis Raro - Módulo 2,"*|PRIMEIRO_NOME|*, chegou a hora de avaliar o Módulo 2.",42,0,42,0,19,1,0,0,100.0,45.24,2.38,0.0,Email Marketing,Equipe Classplay,classplay@templo.cc,[RD] Lápis Raro - Alunos,"",Sim,Sim,Sim
18189861,19/09/2025,11:00,Sexta-feira,Classplay | Lápis Raro - É HOJE! Q&A do Módulo 2,"*|PRIMEIRO_NOME|*, sua aula é hoje. Você vem?",42,0,42,0,23,1,0,0,100.0,54.76,2.38,0.0,Email Marketing,Equipe Classplay,classplay@templo.cc,[RD] Lápis Raro - Alunos,"",Sim,Sim,Sim
18189629,18/09/2025,16:00,Quinta-feira,Classplay | Lápis Raro - É AMANHÃ! Q&A do Módulo 2,"*|PRIMEIRO_NOME|*, sua aula é amanhã, confira mais informações.",42,0,42,0,27,1,0,0,100.0,64.29,2.38,0.0,Email Marketing,Equipe Classplay,classplay@templo.cc,[RD] Lápis Raro - Alunos,"",Sim,Sim,Sim
18212951,18/09/2025,15:05,Quinta-feira,Classplay | Acesso Normalizado | Todos os projetos ativos,"*|PRIMEIRO_NOME|*, o acesso ao Classplay foi normalizado.",202,0,202,0,69,13,0,0,100.0,34.16,6.44,0.0,Email Marketing,Equipe Classplay,classplay@templo.cc,"CEMIG | Base de Alunos | Atualizada, [RD] Lápis Raro - Alunos, Classplay | Onboarding - Professores 080825, Classplay | FCA - Alunos 080825, Classplay | Brasas | Acesso","",Sim,Sim,Sim
18207636,17/09/2025,18:30,Quarta-feira,[Newsletter] Semana 3/4 - Setembro 2025,Resumo executivo - as notícias de IA da semana,4164,0,4125,39,943,18,5,0,99.06,22.86,0.44,0.0,Email Marketing,News do Templo,comunidade@templo.cc,"Grupo Estudos | TI - Todos MQL's, Grupo Estudos | Marketing - Todos MQL's, Grupo Estudos | RH - Todos MQL's, [News] Assinantes (Total)","[Leads] Bounces, [Exclusão] Hard Bounce",Sim,Sim,Sim
18204027,17/09/2025,12:10,Quarta-feira,Classplay | Instabilidade | Todos os projetos ativos,"*|PRIMEIRO_NOME|*, o Classplay está fora do ar para atualização.",202,0,202,0,77,0,0,0,100.0,38.12,0.0,0.0,Email Marketing,Equipe Classplay,classplay@templo.cc,"CEMIG | Base de Alunos | Atualizada, [RD] Lápis Raro - Alunos, Classplay | Onboarding - Professores 080825, Classplay | FCA - Alunos 080825, Classplay | Brasas | Acesso","",Sim,Sim,Sim
18152729,17/09/2025,09:00,Quarta-feira,Classplay | BRASAS - É HOJE! Aula 2 do Módulo 2,*|PRIMEIRO_NOME|* É HOJE! Aula 2 do Módulo 2 às 10h!,22,0,22,0,14,0,0,0,100.0,63.64,0.0,0.0,Email Marketing,Educação Templo,classplay@templo.cc,Classplay | Brasas | Acesso,"",Sim,Sim,Sim
18199668,17/09/2025,08:30,Quarta-feira,Classplay | CEMIG- É HOJE! Aula 2 do Módulo 1,"*|PRIMEIRO_NOME|*, sua aula é hoje, esperamos você.",62,0,62,0,4,12,0,0,100.0,6.45,19.35,0.0,Email Marketing,Equipe Classplay,classplay@templo.cc,CEMIG | Base de Alunos,"",Sim,Sim,Sim
18198530,16/09/2025,17:30,Terça-feira,Classplay | CEMIG- É AMANHÃ! Aula 2 do Módulo 1,"⏰ É AMANHÃ! Aula 2 do Módulo 1, você vem?",62,0,62,0,0,7,0,0,100.0,0.0,11.29,0.0,Email Marketing,Equipe Classplay,classplay@templo.cc,CEMIG | Base de Alunos,"",Sim,Sim,Sim
18199796,16/09/2025,17:25,Terça-feira,Educação | Formação de Professores 2025.2 - Aprovados (Terceira leva),"*|PRIMEIRO_NOME|*, sua vaga está confirmada – próximos passos.",1,0,1,0,1,1,0,0,100.0,100.0,100.0,0.0,Email Marketing,Templo Educação,educacao@templo.cc,Formação de Professores 2025.2 | Selecionados | Terceira leva,"",Sim,Sim,Sim
