date,source,medium,campaign,sessions,users
2025-09-18,(direct),(none),(direct),45.0,31.0
2025-09-18,(not set),(not set),(not set),18.0,16.0
2025-09-18,RD Station,email,classplay__brasas_-_e_amanha_aula_2_do_modulo_1,2.0,1.0
2025-09-18,google,organic,(organic),2.0,2.0
2025-09-18,tagassistant.google.com,referral,(referral),1.0,1.0
2025-09-17,(direct),(none),(direct),6.0,5.0
2025-09-17,RD Station,email,classplay__brasas_-_e_amanha_aula_2_do_modulo_1,2.0,1.0
2025-09-16,(direct),(none),(direct),67.0,40.0
2025-09-16,23.22.69.76:8080,referral,(referral),4.0,1.0
2025-09-16,RD Station,email,classplay__brasas_-_e_amanha_aula_2_do_modulo_1,4.0,1.0
2025-09-16,rd,(not set),onboarding,3.0,2.0
2025-09-16,google,organic,(organic),3.0,2.0
2025-09-16,tagassistant.google.com,referral,(referral),2.0,1.0
2025-09-16,RD Station,email,classplay__brasas_-_e_segunda_qa_do_modulo_1,1.0,1.0
2025-09-15,(direct),(none),(direct),49.0,38.0
2025-09-15,google,organic,(organic),5.0,3.0
2025-09-15,tagassistant.google.com,referral,(referral),4.0,1.0
2025-09-15,mail.google.com,referral,(referral),3.0,1.0
2025-09-15,rd,(not set),onboarding,3.0,3.0
2025-09-15,production-replica.templollms.quantica.com.br,referral,(referral),2.0,1.0
2025-09-14,(direct),(none),(direct),15.0,10.0
2025-09-13,(direct),(none),(direct),2.0,2.0
2025-09-13,google,organic,(organic),1.0,1.0
2025-09-12,(direct),(none),(direct),31.0,21.0
2025-09-12,google,organic,(organic),8.0,4.0
2025-09-12,23.22.69.76:8080,referral,(referral),2.0,1.0
2025-09-12,rd,(not set),onboarding,2.0,1.0
2025-09-12,mail.google.com,referral,(referral),1.0,1.0
2025-09-12,RD Station,email,educacao__formacao_de_professores_-_onboarding_corpo_docente_20251,1.0,1.0
2025-09-11,(not set),(not set),(not set),51.0,29.0
